,Epsilon 0.05,Epsilon 0.10,Epsilon 0.20,Epsilon 0.30,Epsilon 0.40,Epsilon 0.50
0,0.1,0.2375,0.52,0.7925,0.9875,1.3225
1,0.2125,0.42,0.7925,1.165,1.5425,1.81
2,0.2975,0.6125,1.14,1.6375,1.9425,2.2675
3,0.415,0.835,1.465,2.01,2.4625,2.6775
4,0.515,1.06,1.735,2.42,2.8175,3.065
5,0.62,1.2575,2.0925,2.86,3.1475,3.465
6,0.7225,1.3675,2.3875,3.1525,3.6625,3.86
7,0.835,1.6025,2.6275,3.555,3.8425,4.0675
8,0.9275,1.7825,2.9475,3.8325,4.2875,4.24
9,1.065,1.9825,3.255,4.1625,4.4975,4.735
10,1.1525,2.135,3.4275,4.395,4.77,4.98
11,1.24,2.3525,3.645,4.835,5.0225,5.15
12,1.3875,2.4875,3.9025,5.0475,5.255,5.3475
13,1.4875,2.6975,4.0375,5.19,5.5625,5.4825
14,1.5425,2.875,4.3,5.5375,5.755,5.6425
15,1.6125,3.0325,4.575,5.73,5.9925,5.7875
16,1.705,3.1275,4.8625,5.9975,6.325,6.095
17,1.805,3.2525,5.05,6.1975,6.1825,6.1725
18,1.8925,3.405,5.2125,6.335,6.56,6.38
19,1.9325,3.64,5.425,6.5025,6.59,6.4175
20,2.06,3.7625,5.68,6.645,6.7275,6.5375
21,2.1425,3.815,5.83,6.7575,6.8925,6.6225
22,2.2275,3.98,6.0375,6.91,6.975,6.6275
23,2.3075,4.0375,6.095,7.06,7.1275,6.7825
24,2.4175,4.1925,6.3025,7.27,7.32,6.8975
25,2.4675,4.37,6.455,7.2475,7.1575,6.9175
26,2.59,4.4725,6.6225,7.4475,7.33,6.905
27,2.645,4.595,6.7125,7.56,7.495,6.91
28,2.775,4.805,6.8525,7.6575,7.3625,6.9975
29,2.8675,4.945,6.9525,7.8025,7.675,7.2025
30,2.965,5.025,7.0725,7.7,7.765,7.14
31,3.0275,5.1625,7.28,7.93,7.71,7.1775
32,3.1375,5.225,7.435,7.985,7.8425,7.2075
33,3.1775,5.365,7.5575,8.0925,7.9375,7.4475
34,3.265,5.445,7.625,8.1725,7.87,7.37
35,3.325,5.565,7.7425,8.295,7.95,7.325
36,3.4125,5.65,7.8775,8.2175,8.055,7.2175
37,3.5325,5.74,7.8675,8.47,8.1,7.3675
38,3.58,5.8775,7.95,8.3475,8.195,7.375
39,3.6525,5.9575,8.13,8.545,8.055,7.2725
40,3.7125,6.0575,8.135,8.485,8.135,7.39
41,3.8175,6.2075,8.2825,8.575,8.3675,7.42
42,3.8725,6.29,8.44,8.6775,8.275,7.405
43,3.9425,6.3675,8.425,8.7525,8.1525,7.4475
44,4.03,6.52,8.5125,8.6525,8.2975,7.305
45,4.1425,6.635,8.6375,8.7225,8.2025,7.27
46,4.215,6.6875,8.7025,8.7875,8.1775,7.4825
47,4.195,6.7825,8.7225,8.88,8.2825,7.415
48,4.285,6.8875,8.885,8.7625,8.2575,7.445
49,4.33,6.935,8.965,8.845,8.3925,7.525
50,4.4575,7.045,8.975,8.9925,8.35,7.375
51,4.4775,7.065,9.0625,8.9425,8.3275,7.58
52,4.555,7.1225,9.1025,8.9725,8.3425,7.4475
53,4.5425,7.2375,9.155,9.2375,8.2775,7.51
54,4.6175,7.38,9.225,9.04,8.1975,7.475
55,4.6975,7.405,9.245,9.0525,8.375,7.5225
56,4.73,7.4525,9.2975,9.1775,8.3525,7.4675
57,4.835,7.6325,9.29,9.1125,8.3225,7.4175
58,4.9,7.7025,9.36,9.065,8.3325,7.3825
59,4.995,7.72,9.2725,9.3375,8.495,7.59
60,5.0475,7.755,9.4275,9.1725,8.5225,7.55
61,5.105,7.825,9.48,9.2075,8.365,7.4325
62,5.1975,7.915,9.395,9.1875,8.43,7.31
63,5.215,7.9975,9.5075,9.2475,8.4075,7.54
64,5.2925,7.9825,9.5225,9.325,8.4,7.3925
65,5.39,8.065,9.6075,9.21,8.39,7.3925
66,5.445,8.1975,9.6725,9.2775,8.36,7.4725
67,5.495,8.235,9.66,9.2375,8.38,7.5425
68,5.595,8.3275,9.69,9.3075,8.54,7.51
69,5.62,8.3225,9.7225,9.3275,8.3775,7.4525
70,5.675,8.44,9.8275,9.36,8.375,7.4725
71,5.7325,8.3575,9.705,9.3475,8.47,7.5075
72,5.8,8.55,9.7825,9.2725,8.4675,7.465
73,5.85,8.4775,9.8175,9.4625,8.5075,7.48
74,5.9025,8.515,9.8725,9.3525,8.6175,7.59
75,5.9525,8.7125,9.77,9.3575,8.48,7.375
76,6.03,8.7225,9.855,9.55,8.4375,7.3925
77,6.05,8.68,9.815,9.3575,8.4275,7.48
78,6.115,8.85,9.9725,9.3525,8.455,7.605
79,6.15,8.83,9.925,9.3425,8.3925,7.34
80,6.2075,8.9,9.945,9.475,8.51,7.575
81,6.2675,8.915,10.04,9.4,8.335,7.38
82,6.34,8.9675,9.9475,9.545,8.4775,7.6175
83,6.3925,9.08,9.9875,9.515,8.62,7.4975
84,6.4625,9.0525,9.9975,9.3775,8.605,7.615
85,6.4775,9.08,10.0825,9.305,8.47,7.515
86,6.5225,9.21,9.935,9.465,8.4375,7.4925
87,6.63,9.21,10.1125,9.4375,8.5,7.445
88,6.66,9.2675,10.0975,9.385,8.645,7.4375
89,6.64,9.2275,10.1475,9.43,8.52,7.4925
90,6.7375,9.465,10.21,9.4575,8.4925,7.5475
91,6.7825,9.38,10.0875,9.475,8.295,7.405
92,6.825,9.4675,10.1525,9.365,8.5075,7.5275
