,Epsilon 0.05,Epsilon 0.10,Epsilon 0.20,Epsilon 0.30,Epsilon 0.40,Epsilon 0.50
0,0.12,0.275,0.495,0.7575,1.05,1.19
1,0.26,0.505,0.8475,1.1575,1.535,1.85
2,0.365,0.6825,1.1325,1.58,1.96,2.2375
3,0.4625,0.86,1.48,1.94,2.4225,2.585
4,0.555,1.07,1.7675,2.4275,2.8425,3.125
5,0.63,1.275,2.0325,2.7,3.2625,3.3375
6,0.7125,1.435,2.37,3.1175,3.4825,3.7525
7,0.84,1.6,2.645,3.37,3.9625,4.145
8,0.9175,1.8275,2.845,3.6975,4.275,4.42
9,1.0525,2.055,3.1625,4.0775,4.6375,4.6975
10,1.13,2.2075,3.3725,4.415,4.82,4.85
11,1.2175,2.35,3.6225,4.64,5.0175,5.115
12,1.2975,2.525,3.9425,4.8575,5.1675,5.27
13,1.435,2.6575,4.1075,5.0775,5.44,5.59
14,1.51,2.81,4.3725,5.3475,5.665,5.6975
15,1.625,2.9975,4.5425,5.5325,5.985,5.765
16,1.7175,3.1425,4.8175,5.735,6.1575,6.0175
17,1.825,3.31,5.1375,5.935,6.2425,6.15
18,1.935,3.385,5.2575,6.1425,6.4775,6.255
19,2.025,3.585,5.4725,6.35,6.6025,6.35
20,2.0975,3.72,5.6175,6.4525,6.7575,6.4375
21,2.1775,3.905,5.8175,6.7475,6.7975,6.52
22,2.24,4.0125,5.9225,6.8275,7.0625,6.4875
23,2.3225,4.15,6.195,6.88,7.1125,6.615
24,2.4,4.29,6.3625,7.0625,7.0825,6.7925
25,2.48,4.4,6.495,7.1275,7.405,6.8675
26,2.62,4.545,6.6375,7.39,7.4075,7.1175
27,2.695,4.705,6.86,7.425,7.235,6.94
28,2.7925,4.8475,6.9075,7.565,7.615,6.9925
29,2.9025,4.9375,7.0,7.6925,7.6775,7.1575
30,2.95,5.075,7.1775,7.875,7.795,7.125
31,3.0325,5.195,7.25,7.7925,7.6925,6.9975
32,3.0975,5.3025,7.38,7.905,7.72,7.0725
33,3.1625,5.425,7.485,8.06,7.8525,7.1775
34,3.2625,5.5925,7.565,8.0725,7.63,6.9425
35,3.3175,5.6775,7.625,8.15,7.9925,7.175
36,3.4275,5.75,7.82,8.4225,8.03,7.3275
37,3.4925,5.83,7.92,8.3325,7.98,7.26
38,3.545,5.9225,8.0225,8.405,7.985,7.3825
39,3.6475,6.07,8.01,8.4125,8.105,7.3075
40,3.7325,6.1725,8.215,8.5175,8.08,7.42
41,3.7925,6.28,8.1875,8.4825,7.9575,7.4725
42,3.8575,6.43,8.28,8.69,8.165,7.225
43,3.915,6.4825,8.3125,8.695,8.06,7.335
44,4.0175,6.5675,8.3325,8.68,8.1725,7.3425
45,4.0725,6.64,8.5975,8.8025,8.145,7.595
46,4.1775,6.815,8.6425,8.875,8.3925,7.51
47,4.275,6.73,8.6575,8.7125,8.3375,7.31
48,4.3175,6.985,8.7325,8.9075,8.2275,7.58
49,4.425,6.9675,8.8425,8.965,8.2275,7.5275
50,4.47,7.0075,8.9,8.94,8.465,7.45
51,4.55,7.15,8.9575,8.975,8.3825,7.4825
52,4.6275,7.1575,9.0275,8.925,8.305,7.4925
53,4.63,7.2575,9.0275,9.1175,8.2275,7.505
54,4.705,7.32,9.2175,9.06,8.48,7.4425
55,4.7775,7.4825,9.1175,9.0325,8.395,7.4375
56,4.8175,7.495,9.075,9.1025,8.5175,7.6
57,4.915,7.5825,9.23,8.9725,8.4025,7.51
58,4.9525,7.6725,9.375,8.97,8.4225,7.465
59,5.0475,7.6675,9.3725,9.1,8.2425,7.5325
60,5.045,7.765,9.3875,9.21,8.4225,7.5525
61,5.1275,7.8775,9.3025,9.155,8.455,7.4475
62,5.24,7.8375,9.4825,9.2925,8.5425,7.595
63,5.285,7.95,9.495,9.3,8.4375,7.5275
